file_name,strategy,splits,backtracks,clauses,variables,givens,pos,neg,unit_rule,pure_rule,execution_time
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/539.txt,Grab First,4,1,12013,729,25,6544,31433,6,6,2.1559009552001953
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/277.txt,Grab First,1,0,12012,729,24,3856,25512,2,2,2.4218640327453613
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/511.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.1497490406036377
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/505.txt,Grab First,11,5,12013,729,25,16585,59442,17,17,2.3328938484191895
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/263.txt,Grab First,0,0,12012,729,24,2940,23328,1,1,2.2886757850646973
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/288.txt,Grab First,1,1,12012,729,24,4703,27951,3,3,2.4157040119171143
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/513.txt,Grab First,20,17,12013,729,25,38439,117924,38,38,3.247408866882324
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/275.txt,Grab First,0,0,12012,729,24,2940,23328,1,1,2.2516229152679443
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/261.txt,Grab First,5,4,12012,729,24,8906,37660,10,10,2.424837350845337
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/507.txt,Grab First,11,8,12013,729,25,17150,55733,20,20,2.3743889331817627
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/249.txt,Grab First,24,23,12012,729,24,40501,116749,48,48,2.9742729663848877
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/936.txt,Grab First,6,6,12015,729,27,9223,36360,13,13,2.2830259799957275
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/922.txt,Grab First,4,1,12015,729,27,6891,32918,6,6,2.3566389083862305
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/711.txt,Grab First,4,2,12014,729,26,7160,32410,7,7,2.2119219303131104
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/705.txt,Grab First,4,1,12013,729,25,6142,30545,6,6,2.1643550395965576
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/739.txt,Grab First,14,10,12014,729,26,23604,76824,25,25,2.3319079875946045
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/842.txt,Grab First,37,37,12014,729,26,63754,176406,75,75,3.1097488403320312
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/16.txt,Grab First,0,0,12010,729,22,2938,23328,1,1,2.379457950592041
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/856.txt,Grab First,5,1,12014,729,26,7075,32101,7,7,2.0761477947235107
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/103.txt,Grab First,7,5,12011,729,23,12149,43156,13,13,2.3051419258117676
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/665.txt,Grab First,11,8,12013,729,25,23640,82045,20,20,2.660640001296997
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/671.txt,Grab First,3,1,12013,729,25,5994,30057,5,5,2.2999422550201416
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/117.txt,Grab First,0,0,12011,729,23,2939,23328,1,1,2.2558438777923584
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/881.txt,Grab First,5,0,12014,729,26,9656,42216,6,6,2.4171149730682373
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/659.txt,Grab First,3,1,12013,729,25,5252,27923,5,5,2.195521116256714
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/895.txt,Grab First,28,25,12014,729,26,44727,122017,54,54,2.7308380603790283
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/498.txt,Grab First,9,6,12013,729,25,16109,57868,16,16,2.5740489959716797
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/467.txt,Grab First,1,0,12013,729,25,4308,27327,2,2,2.3541460037231445
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/301.txt,Grab First,2,1,12012,729,24,7051,37269,4,4,2.216456890106201
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/315.txt,Grab First,8,6,12012,729,24,14937,55947,15,15,2.4369571208953857
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/473.txt,Grab First,5,3,12013,729,25,10026,42627,9,9,2.4478399753570557
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/329.txt,Grab First,4,4,12012,729,24,8457,36999,9,9,2.3288450241088867
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/328.txt,Grab First,14,14,12012,729,24,19151,60165,29,29,2.636326789855957
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/314.txt,Grab First,25,21,12012,729,24,40716,122504,47,47,2.7444229125976562
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/472.txt,Grab First,66,65,12013,729,25,105528,295699,132,132,3.7875866889953613
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/466.txt,Grab First,15,10,12013,729,25,25916,84017,26,26,2.466715097427368
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/300.txt,Grab First,2,0,12012,729,24,4220,25724,3,3,2.340423345565796
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/499.txt,Grab First,9,8,12013,729,25,11364,40165,18,18,2.2590479850769043
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/894.txt,Grab First,10,7,12014,729,26,16421,54171,18,18,2.358398914337158
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/658.txt,Grab First,16,14,12013,729,25,27190,85707,31,31,2.691190004348755
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/880.txt,Grab First,24,22,12014,729,26,26922,75908,47,47,2.54779314994812
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/670.txt,Grab First,2,0,12013,729,25,4748,27443,3,3,2.3536410331726074
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/116.txt,Grab First,1,1,12011,729,23,3875,24996,3,3,2.3263580799102783
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/102.txt,Grab First,4,1,12011,729,23,7769,36036,6,6,2.227630138397217
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/664.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.4125149250030518
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/857.txt,Grab First,38,34,12014,729,26,63687,180595,73,73,3.257737874984741
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/17.txt,Grab First,0,0,12010,729,22,2938,23328,1,1,2.383273124694824
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/843.txt,Grab First,32,30,12014,729,26,49320,137384,63,63,3.306222677230835
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/738.txt,Grab First,2,0,12014,729,26,5806,31702,3,3,2.18802809715271
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/704.txt,Grab First,7,5,12013,729,25,12999,49878,13,13,2.463569164276123
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/710.txt,Grab First,0,0,12014,729,26,2942,23328,1,1,2.253739833831787
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/923.txt,Grab First,17,15,12015,729,27,34584,113583,33,33,2.8713910579681396
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/937.txt,Grab First,0,0,12015,729,27,2943,23328,1,1,2.344879150390625
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/248.txt,Grab First,0,0,12012,729,24,2940,23328,1,1,2.093940019607544
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/260.txt,Grab First,4,3,12012,729,24,6786,30700,8,8,2.1981489658355713
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/506.txt,Grab First,2,1,12013,729,25,4887,27444,4,4,2.2163872718811035
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/512.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.1794872283935547
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/274.txt,Grab First,2,1,12012,729,24,4808,27382,4,4,2.3119611740112305
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/258.txt,Grab First,2,1,12012,729,24,6280,32764,4,4,2.2638919353485107
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/270.txt,Grab First,0,0,12012,729,24,2940,23328,1,1,2.210841178894043
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/516.txt,Grab First,2,0,12013,729,25,4989,28508,3,3,2.234233856201172
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/502.txt,Grab First,18,14,12013,729,25,29805,91794,33,33,2.608146905899048
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/264.txt,Grab First,1,0,12012,729,24,3595,24619,2,2,2.1923460960388184
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/933.txt,Grab First,12,10,12015,729,27,20903,64404,23,23,2.7592978477478027
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/927.txt,Grab First,1,0,12015,729,27,4105,26414,2,2,2.0323147773742676
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/728.txt,Grab First,2,1,12014,729,26,6174,32380,4,4,2.162698984146118
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/714.txt,Grab First,1,1,12014,729,26,3863,25119,3,3,2.149397850036621
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/700.txt,Grab First,9,8,12013,729,25,15713,52342,18,18,2.229123830795288
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/847.txt,Grab First,5,2,12014,729,26,7703,34227,8,8,2.327855110168457
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/13.txt,Grab First,4,4,12010,729,22,9564,42312,9,9,2.1362197399139404
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/853.txt,Grab First,3,3,12014,729,26,6196,30006,7,7,2.148900270462036
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/884.txt,Grab First,0,0,12014,729,26,2942,23328,1,1,2.2180769443511963
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/890.txt,Grab First,4,1,12014,729,26,7975,35613,6,6,2.0823206901550293
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/648.txt,Grab First,41,39,12013,729,25,74747,222692,81,81,3.944660186767578
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/660.txt,Grab First,4,1,12013,729,25,5721,28616,6,6,2.5253407955169678
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/106.txt,Grab First,0,0,12011,729,23,2939,23328,1,1,2.272883892059326
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/112.txt,Grab First,4,3,12011,729,23,10057,42270,8,8,2.3185007572174072
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/674.txt,Grab First,1,1,12013,729,25,3901,25020,3,3,2.2253949642181396
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/489.txt,Grab First,0,0,12013,729,25,2941,23328,1,1,2.1544480323791504
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/338.txt,Grab First,4,1,12012,729,24,9104,41960,6,6,2.5769848823547363
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/304.txt,Grab First,2,1,12012,729,24,4427,26057,4,4,2.137640953063965
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/462.txt,Grab First,3,1,12013,729,25,6154,31305,5,5,2.277294158935547
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/476.txt,Grab First,5,3,12013,729,25,8689,35800,9,9,2.3539369106292725
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/310.txt,Grab First,4,0,12012,729,24,7145,34303,5,5,2.356168031692505
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/477.txt,Grab First,22,22,12013,729,25,40776,124287,45,45,2.698946237564087
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/311.txt,Grab First,2,2,12012,729,24,6353,32259,5,5,2.3935258388519287
/Users/spijkervet/Desktop/test_data/cnf/sudoku/1000-sudokus.txt/305.txt,Grab First,2,1,12012,729,24,6150,32904,4,4,2.2496888637542725
